id,iso_a2,country,lifespan,quantifier,country_code,country_name,x2020,x2021,x2022,x2023,x2024,x2025,x2026,x2027,x2028,x2029,x2030,x2031,x2032,x2033,x2034,x2035,x2036,x2037,x2038,x2039,x2040,qpct,totalnets
Full CD: 70% target,GN,Guinea,2.5,9,GIN,Guinea,13205152,13531906,13859340,14190612,14528770,14873052,15220392,15568760,15918453,16269856,16622387.999999998,16976053,17330988,17687444,18044749,18402322,18759589,19115845,19471305,19827660,20185302,0.09,4015999.26
Full CD: 70% target,GN,Guinea,3,7,GIN,Guinea,13205152,13531906,13859340,14190612,14528770,14873052,15220392,15568760,15918453,16269856,16622387.999999998,16976053,17330988,17687444,18044749,18402322,18759589,19115845,19471305,19827660,20185302,0.07,3123554.9800000004
Full CD: 70% target,GN,Guinea,3.5,6,GIN,Guinea,13205152,13531906,13859340,14190612,14528770,14873052,15220392,15568760,15918453,16269856,16622387.999999998,16976053,17330988,17687444,18044749,18402322,18759589,19115845,19471305,19827660,20185302,0.06,2677332.84
Full CD: 70% target,KE,Kenya,1,33,KEN,Kenya,51985780,53005614,54027487,55100586,56203030,57323930,58457378,59604431,60762923,61929864,63103942,64284466,65470260,66655944,67839692,69018977,70186445,71342689,72493659,73634414,74757978,0.33,56754831.54000001
Full CD: 70% target,KE,Kenya,1.5,26,KEN,Kenya,51985780,53005614,54027487,55100586,56203030,57323930,58457378,59604431,60762923,61929864,63103942,64284466,65470260,66655944,67839692,69018977,70186445,71342689,72493659,73634414,74757978,0.26,44715927.88
Full CD: 70% target,KE,Kenya,2,18,KEN,Kenya,51985780,53005614,54027487,55100586,56203030,57323930,58457378,59604431,60762923,61929864,63103942,64284466,65470260,66655944,67839692,69018977,70186445,71342689,72493659,73634414,74757978,0.18,30957180.84
Full CD: 70% target,KE,Kenya,2.5,14,KEN,Kenya,51985780,53005614,54027487,55100586,56203030,57323930,58457378,59604431,60762923,61929864,63103942,64284466,65470260,66655944,67839692,69018977,70186445,71342689,72493659,73634414,74757978,0.14,24077807.320000004
Full CD: 70% target,KE,Kenya,3,11,KEN,Kenya,51985780,53005614,54027487,55100586,56203030,57323930,58457378,59604431,60762923,61929864,63103942,64284466,65470260,66655944,67839692,69018977,70186445,71342689,72493659,73634414,74757978,0.11,18918277.18
Full CD: 70% target,KE,Kenya,3.5,9,KEN,Kenya,51985780,53005614,54027487,55100586,56203030,57323930,58457378,59604431,60762923,61929864,63103942,64284466,65470260,66655944,67839692,69018977,70186445,71342689,72493659,73634414,74757978,0.09,15478590.42
Full CD: 70% target,KM,Comoros,1,30,COM,Comoros,806166,821626,836774,852075,867604,883075,898473,913810,929073,944276,959412,974456,989460,1004456,1019412,1034320.9999999999,1049114,1063780,1078375,1092920,1107417,0.3,794745.5999999999
Full CD: 70% target,KM,Comoros,1.5,23,COM,Comoros,806166,821626,836774,852075,867604,883075,898473,913810,929073,944276,959412,974456,989460,1004456,1019412,1034320.9999999999,1049114,1063780,1078375,1092920,1107417,0.23,609304.9600000001
Full CD: 70% target,KM,Comoros,2,16,COM,Comoros,806166,821626,836774,852075,867604,883075,898473,913810,929073,944276,959412,974456,989460,1004456,1019412,1034320.9999999999,1049114,1063780,1078375,1092920,1107417,0.16,423864.32
Full CD: 70% target,KM,Comoros,2.5,12,COM,Comoros,806166,821626,836774,852075,867604,883075,898473,913810,929073,944276,959412,974456,989460,1004456,1019412,1034320.9999999999,1049114,1063780,1078375,1092920,1107417,0.12,317898.24
Full CD: 70% target,KM,Comoros,3,10,COM,Comoros,806166,821626,836774,852075,867604,883075,898473,913810,929073,944276,959412,974456,989460,1004456,1019412,1034320.9999999999,1049114,1063780,1078375,1092920,1107417,0.1,264915.2
Full CD: 70% target,KM,Comoros,3.5,8,COM,Comoros,806166,821626,836774,852075,867604,883075,898473,913810,929073,944276,959412,974456,989460,1004456,1019412,1034320.9999999999,1049114,1063780,1078375,1092920,1107417,0.08,211932.16
Full CD: 70% target,LR,Liberia,1,29,LBR,Liberia,5087584,5193416,5302681,5418376,5536949,5657228,5779303,5902858,6028036,6154516,6282074,6410626,6539863,6670120,6800916,6932308,7064345,7196804,7329593,7462143,7594350,0.29,4922309.2
